date,exists,filename,version,revision,n_lpw_l2_files,status
2015-03-30,yes,mvn_lpw_l2_mrgscpot_20150330_v02_r02.cdf,2,2,10,ok
2015-03-31,yes,mvn_lpw_l2_mrgscpot_20150331_v02_r02.cdf,2,2,10,ok
2015-04-01,yes,mvn_lpw_l2_mrgscpot_20150401_v02_r03.cdf,2,3,10,ok
2015-04-02,yes,mvn_lpw_l2_mrgscpot_20150402_v02_r03.cdf,2,3,10,ok
2015-04-03,yes,mvn_lpw_l2_mrgscpot_20150403_v02_r03.cdf,2,3,10,ok
2015-04-04,no,,,,0,no_mrgscpot
2015-04-05,no,,,,0,no_mrgscpot
2015-04-06,no,,,,0,no_mrgscpot
2015-04-07,no,,,,0,no_mrgscpot
2015-04-08,no,,,,0,no_mrgscpot
2015-04-09,no,,,,0,no_mrgscpot
2015-04-10,no,,,,0,no_mrgscpot
2015-04-11,no,,,,0,no_mrgscpot
2015-04-12,no,,,,0,no_mrgscpot
2015-04-13,no,,,,0,no_mrgscpot
2015-04-14,yes,mvn_lpw_l2_mrgscpot_20150414_v02_r03.cdf,2,3,7,ok
2015-04-15,yes,mvn_lpw_l2_mrgscpot_20150415_v02_r03.cdf,2,3,10,ok
2015-04-16,yes,mvn_lpw_l2_mrgscpot_20150416_v02_r03.cdf,2,3,10,ok
2015-04-17,yes,mvn_lpw_l2_mrgscpot_20150417_v02_r03.cdf,2,3,10,ok
2015-04-18,yes,mvn_lpw_l2_mrgscpot_20150418_v02_r03.cdf,2,3,10,ok
2015-04-19,yes,mvn_lpw_l2_mrgscpot_20150419_v02_r03.cdf,2,3,10,ok
2015-04-20,yes,mvn_lpw_l2_mrgscpot_20150420_v02_r03.cdf,2,3,10,ok
2015-04-21,yes,mvn_lpw_l2_mrgscpot_20150421_v02_r03.cdf,2,3,10,ok
2015-04-22,yes,mvn_lpw_l2_mrgscpot_20150422_v02_r03.cdf,2,3,10,ok
2015-04-23,yes,mvn_lpw_l2_mrgscpot_20150423_v02_r03.cdf,2,3,10,ok
2015-04-24,yes,mvn_lpw_l2_mrgscpot_20150424_v02_r03.cdf,2,3,10,ok
2015-04-25,yes,mvn_lpw_l2_mrgscpot_20150425_v02_r03.cdf,2,3,10,ok
2015-04-26,yes,mvn_lpw_l2_mrgscpot_20150426_v02_r03.cdf,2,3,10,ok
2015-04-27,yes,mvn_lpw_l2_mrgscpot_20150427_v02_r03.cdf,2,3,7,ok
2015-04-28,yes,mvn_lpw_l2_mrgscpot_20150428_v02_r03.cdf,2,3,7,ok
2015-04-29,yes,mvn_lpw_l2_mrgscpot_20150429_v02_r03.cdf,2,3,7,ok
2015-04-30,yes,mvn_lpw_l2_mrgscpot_20150430_v02_r03.cdf,2,3,7,ok
